dummy,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
1,7/9/2014,4,2.5,2720,10006,2,0,0,3,9,2720,0,1989,0,98074,47.6295,-122.042,2720,10759,5.9495
1,7/18/2014,2,2.5,2600,5000,1,0,0,5,8,1300,1300,1926,0,98126,47.5806,-122.379,2260,5000,6.65
1,7/7/2014,5,1.75,1650,3000,1.5,0,0,3,8,1650,0,1902,0,98144,47.5955,-122.306,1740,4000,4.43
1,4/28/2015,4,1.75,1720,9600,1,0,0,4,8,1720,0,1969,0,98059,47.4764,-122.155,1660,10720,3.8
1,9/4/2014,6,2.25,3830,11180,1,0,2,5,9,2440,1390,1962,0,98008,47.5849,-122.113,2500,10400,8.87
1,2/24/2015,4,2.5,2210,213008,1,0,0,4,7,1210,1000,1975,0,98038,47.4039,-121.98,2270,52707,4.15
1,3/29/2015,3,2.5,2600,23361,1.5,1,4,3,8,2150,450,1912,0,98146,47.4997,-122.379,1700,14700,5.4
1,11/13/2014,4,1.5,1220,4900,1,0,0,3,6,1220,0,1942,0,98118,47.5292,-122.269,1410,3000,2.5
1,8/13/2014,3,2.75,3040,24192,2,0,0,4,10,3040,0,1987,0,98034,47.7108,-122.225,2770,5728,8.25
1,5/4/2015,2,1,1010,5408,1,0,0,4,6,1010,0,1926,0,98032,47.3759,-122.238,980,7800,2.25
1,12/8/2014,4,2.5,2660,4082,2,0,0,3,7,2660,0,2010,0,98042,47.3414,-122.055,2390,4876,2.87
1,6/30/2014,4,2.5,2680,12215,1,1,4,3,9,1590,1090,1956,0,98166,47.4396,-122.353,2960,19964,13.1
1,4/23/2015,3,2,1640,9825,1,0,0,4,7,1090,550,1971,0,98034,47.7244,-122.2,1500,9750,4.55
1,7/21/2014,4,2.25,2470,17008,2,0,0,4,8,2470,0,1979,0,98075,47.5924,-122.048,2470,31798,6.25
1,7/10/2014,4,2.5,1830,3868,2,0,0,3,7,1830,0,2007,0,98118,47.5186,-122.276,2330,3868,2.75
1,12/8/2014,3,2.5,1860,5321,2,0,0,3,7,1860,0,2000,0,98038,47.3848,-122.033,1940,5205,3.26995
1,5/12/2014,4,2.25,1800,8623,1,0,0,4,8,1360,440,1980,0,98033,47.692,-122.184,2370,8623,5.22
1,10/2/2014,1,1,500,7440,1,0,0,1,5,500,0,1928,0,98106,47.5252,-122.362,1350,7440,1.25
1,2/6/2015,2,1,770,5680,1,0,0,4,6,770,0,1929,0,98117,47.6951,-122.366,1170,5514,3.65
1,6/17/2014,3,2.5,2970,21907,2,0,0,3,9,2970,0,1998,2006,98059,47.4741,-122.099,2040,27917,4.995
1,3/18/2015,3,1.5,1480,7117,1,0,0,3,7,1170,310,1960,0,98028,47.7766,-122.248,2230,14775,2.85
1,7/24/2014,2,1.5,1180,1034,2,0,0,3,7,1120,60,2001,0,98115,47.678,-122.322,1137,1034,4.1
1,7/7/2014,3,2.5,1990,12793,2,0,0,3,8,1990,0,1993,0,98028,47.7347,-122.226,2290,9035,4.5
1,12/8/2014,4,2.5,3220,6399,2,0,0,3,9,3220,0,2004,0,98075,47.5883,-121.991,2850,6399,6.97
1,11/18/2014,3,1,1370,17859,1,0,0,4,7,1150,220,1930,0,98024,47.5617,-121.859,1460,47044,2.75
1,10/28/2014,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,6.85
1,2/18/2015,3,2.5,1830,6807,2.5,0,0,5,7,1830,0,1954,0,98155,47.7613,-122.322,1340,6807,4.4
1,9/11/2014,4,2.25,2150,27345,2,0,0,5,8,2150,0,1976,0,98059,47.469,-122.121,2200,11923,4.1
1,1/26/2015,4,1.5,2480,6383,1,0,0,3,7,1380,1100,1946,0,98119,47.6445,-122.374,1440,6000,6.5
1,1/22/2015,5,3,2010,7264,1,0,0,3,7,1290,720,1990,0,98103,47.6945,-122.33,1510,7326,4.65
1,11/6/2014,2,1,880,5750,1,0,0,3,6,880,0,1939,0,98126,47.5642,-122.379,1190,5750,2.8
1,11/20/2014,3,2.25,1680,8450,1,0,0,3,8,1340,340,1960,0,98177,47.7575,-122.361,1850,8300,3.85
1,11/13/2014,3,1.5,1000,6914,1,0,0,3,7,1000,0,1947,0,98125,47.7144,-122.319,1000,6947,3.78
1,3/18/2015,4,2,1850,9126,1,0,0,5,7,1850,0,1963,0,98059,47.5009,-122.164,1730,9110,3.29
1,9/15/2014,3,3.25,2950,4446,2,0,0,3,9,2450,500,2001,0,98116,47.5852,-122.391,1930,4255,9.3
1,4/14/2015,3,1.75,1670,7210,1,0,0,5,8,1670,0,1967,0,98008,47.6344,-122.116,2200,7210,6.78
1,5/6/2015,5,2.5,3000,10560,1,0,0,3,8,1500,1500,1966,0,98004,47.6249,-122.206,2690,11616,8
1,10/7/2014,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,4
1,5/27/2014,3,2.5,1590,2550,3,0,0,3,7,1590,0,1985,0,98117,47.6772,-122.393,1260,5100,4.88
1,3/28/2015,2,1.5,980,853,2,0,0,3,7,820,160,2009,0,98144,47.5925,-122.295,1130,1270,3.78
1,9/25/2014,3,2.5,1520,3003,2,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3030,3.3
1,7/24/2014,4,2.5,1770,5000,2,0,0,3,7,1770,0,2004,0,98038,47.3503,-122.005,2080,5100,2.915
